,x0_a_r,y0_a_r,x0_b_r,y0_b_r
0,-1.16399413404,-0.00163453729904,1.14241949701,-0.0119677642643
1,-1.26835842279,-0.0358940724011,1.23101072879,0.0728426190096
2,-1.10706480967,0.0145714370619,1.26991386929,-0.0142265779669
3,-1.27710295377,0.0792173725502,1.23744218721,-0.029117326839
4,-1.22932597547,0.0167927498299,1.1602448733,-0.00498295131706
5,-1.13661821493,-0.0514478841309,1.22125030863,-0.00723290629815
6,-1.23464447112,-0.0619766365219,1.2437076024,-0.0236333868596
7,-1.26712712315,-0.0141314682403,1.22737218948,-0.028103035471
8,-1.13410148676,0.0839838684664,1.1946860252,0.0901180450231
9,-1.20135401748,-0.0932063070406,1.2321884923,0.0051031906093
10,-1.23098340525,-0.0780353922937,1.27894197969,0.0570749623583
11,-1.28443530323,-0.0345318560246,1.26080060902,-0.00518838384492
12,-1.28595358997,-0.0442567204159,1.14430060961,0.0158537009064
13,-1.15486037556,0.0966841695733,1.13612983931,0.0929401526087
14,-1.28527138256,0.0959766231961,1.27214744208,0.022907499539
15,-1.24866552681,0.0785254798598,1.17307021922,-0.0697353177729
16,-1.28547028324,0.0984424504315,1.2976619033,0.0914825386104
17,-1.15695623905,0.0129753395577,1.21077819691,0.00188633362065
18,-1.16390763585,-0.099454410236,1.15719350269,-0.0637892828847
19,-1.109527518,0.0897729425127,1.15252486948,0.0454933464378
